,WORKSITE_STATE,SOC2,total_positions,avg_wage,avg_pw,wage_gap,avg_pw_level,sec_entity_rate,h1b_dep_rate,out_of_state_rate,new_emp_prop,cont_emp_prop,change_prev_prop,concurrent_prop,change_emp_prop,amend_pet_prop
388,OR,15,582.0,137269.5595360825,121661.91030927838,15607.649226804124,2.810996563573883,0.3281786941580756,0.3316151202749141,0.8608247422680413,0.04381443298969072,0.2230813287514318,0.09707903780068729,0.002577319587628866,0.1211340206185567,0.11712485681557848
389,OR,17,321.0,142667.08788161995,124262.37196261682,18404.715919003113,2.809968847352025,0.012461059190031152,0.18691588785046728,0.956386292834891,0.029906542056074764,0.16074766355140188,0.14205607476635512,0.0,0.09221183800623053,0.04236760124610592
390,OR,19,15.0,112162.72066666668,80267.2,31895.520666666664,2.466666666666667,0.0,0.0,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.0,0.0,0.26666666666666666,0.13333333333333333
391,OR,21,4.0,62073.0,54428.4,7644.6,2.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.5,0.0
392,OR,25,21.0,112182.66666666667,65495.71619047619,46686.95047619048,1.1904761904761905,0.0,0.0,0.0,0.42857142857142855,0.5238095238095238,0.0,0.0,0.047619047619047616,0.0
393,OR,27,3.0,104403.33333333333,87318.33333333333,17085.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0
394,OR,29,13.0,205095.61538461538,155577.6923076923,49517.92307692308,2.769230769230769,0.07692307692307693,0.0,0.07692307692307693,0.23076923076923078,0.6923076923076923,0.07692307692307693,0.0,0.0,0.0
395,OR,41,1.0,180000.0,156749.0,23251.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
396,PA,11,118.0,172243.71169491526,144822.62033898305,27421.091355932203,2.4237288135593222,0.05084745762711865,0.01694915254237288,0.423728813559322,0.1271186440677966,0.288135593220339,0.1016949152542373,0.0,0.19491525423728814,0.2627118644067797
397,PA,13,91.0,101644.3189010989,82216.05934065934,19428.25956043956,2.3956043956043955,0.21978021978021978,0.1978021978021978,0.45054945054945056,0.2087912087912088,0.195970695970696,0.09065934065934066,0.0,0.17582417582417584,0.22985347985347981
398,PA,15,2239.0,116005.17522554712,103742.2826261724,12262.89259937472,2.5984814649397054,0.40687807056721753,0.34167038856632426,0.6623492630638678,0.09569748399583146,0.23974988834301025,0.06943576001191008,0.0020842638082477294,0.16072651481316064,0.20095280631234183
399,PA,17,146.0,105882.04493150685,92473.79726027398,13408.247671232875,2.4657534246575343,0.08904109589041095,0.07534246575342465,0.4931506849315068,0.13013698630136986,0.339041095890411,0.0958904109589041,0.0,0.21575342465753425,0.21232876712328766
400,PA,19,168.0,79569.37232142857,62801.611190476186,16767.76113095238,1.5654761904761905,0.041666666666666664,0.011904761904761904,0.07142857142857142,0.4583333333333333,0.2916666666666667,0.017857142857142856,0.0,0.07738095238095238,0.16071428571428573
401,PA,21,22.0,39234.11818181819,36531.59090909091,2702.527272727273,1.1363636363636365,0.0,0.0,0.0,0.36363636363636365,0.09090909090909091,0.22727272727272727,0.0,0.045454545454545456,0.2727272727272727
402,PA,23,2.0,55939.0,51501.0,4438.0,3.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
403,PA,25,61.0,112764.21590163934,63135.49180327869,49628.72409836065,1.2622950819672132,0.0,0.0,0.0,0.4918032786885246,0.3114754098360656,0.04918032786885246,0.0,0.04918032786885246,0.09836065573770492
404,PA,27,9.0,69197.45111111112,59310.64444444445,9886.806666666667,2.111111111111111,0.0,0.0,0.2222222222222222,0.3333333333333333,0.0,0.0,0.0,0.2222222222222222,0.4444444444444444
405,PA,29,100.0,141628.3841,90772.256,50856.1281,1.91,0.14,0.04,0.15,0.64,0.22,0.02,0.0,0.05,0.05
406,PA,39,1.0,44000.0,35360.0,8640.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
407,PA,41,5.0,131329.66,107477.6,23852.06,3.0,0.2,0.2,0.8,0.0,0.6,0.0,0.0,0.0,0.4
408,PR,11,1.0,99000.0,85259.0,13741.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
409,PR,15,5.0,111001.004,49258.6,61742.404,1.8,0.2,0.0,0.8,0.2,0.0,0.0,0.0,0.4,0.4
410,PR,25,7.0,54585.74,44674.24,9911.5,1.5714285714285714,0.0,0.0,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285
411,RI,11,4.0,189894.525,175442.5,14452.025000000001,2.75,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.75,0.0
412,RI,13,12.0,118563.87666666666,113074.0,5489.876666666667,3.25,0.3333333333333333,0.6666666666666666,0.75,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.5
413,RI,15,205.0,121566.68136585366,112506.65365853658,9060.027707317073,2.604878048780488,0.5902439024390244,0.33170731707317075,0.6829268292682927,0.09983739837398375,0.2559349593495935,0.08032520325203253,0.0032520325203252032,0.18276422764227643,0.08032520325203253
414,RI,17,8.0,121408.5,109210.45,12198.05,3.125,0.125,0.0,0.875,0.125,0.5,0.0,0.0,0.375,0.0
415,RI,19,15.0,73843.05133333334,65887.4,7955.651333333333,1.7333333333333334,0.0,0.0,0.06666666666666667,0.3333333333333333,0.4666666666666667,0.13333333333333333,0.0,0.06666666666666667,0.0
416,RI,25,9.0,121460.66666666667,83306.55555555556,38154.11111111111,1.6666666666666667,0.0,0.0,0.0,0.6666666666666666,0.2222222222222222,0.0,0.0,0.1111111111111111,0.0
417,RI,27,2.0,52920.0,50908.1,2011.9000000000015,1.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0
418,RI,29,134.0,82876.65671641791,77223.58507462687,5653.071641791044,1.0746268656716418,0.9626865671641791,0.007462686567164179,0.9253731343283582,0.04291044776119403,0.03544776119402985,0.005597014925373134,0.0,0.0,0.020522388059701493
419,RI,31,1.0,55000.0,45885.0,9115.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
420,SC,11,23.0,144379.4004347826,130525.52173913043,13853.878695652174,2.4347826086956523,0.043478260869565216,0.043478260869565216,0.6086956521739131,0.043478260869565216,0.30434782608695654,0.08695652173913043,0.0,0.21739130434782608,0.34782608695652173
421,SC,13,10.0,132418.016,78484.7,53933.316000000006,2.9,0.0,0.1,0.8,0.1,0.3,0.1,0.0,0.5,0.0
422,SC,15,226.0,120862.61694690265,109496.08584070796,11366.531106194692,2.765486725663717,0.35398230088495575,0.4557522123893805,0.8185840707964602,0.06637168141592921,0.28613569321533927,0.061946902654867256,0.0,0.2168141592920354,0.3333333333333333
423,SC,17,53.0,105249.11207547168,91124.49056603774,14124.621509433964,2.4339622641509435,0.11320754716981132,0.11320754716981132,0.5471698113207547,0.05660377358490566,0.3584905660377358,0.018867924528301886,0.0,0.41509433962264153,0.1509433962264151
424,SC,19,9.0,61717.77777777778,56187.77777777778,5530.0,1.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.5555555555555556,0.0,0.0,0.0,0.1111111111111111
425,SC,21,1.0,37500.0,36171.0,1329.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
426,SC,23,1.0,160000.0,56056.0,103944.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
427,SC,25,48.0,62509.23333333334,48757.25,13751.983333333332,1.25,0.020833333333333332,0.0,0.0,0.6041666666666666,0.2916666666666667,0.020833333333333332,0.0,0.08333333333333333,0.020833333333333332
428,SC,27,3.0,61295.333333333336,61295.333333333336,0.0,1.6666666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0
429,SC,29,18.0,283668.415,135031.27777777778,148637.1372222222,1.6666666666666667,0.2222222222222222,0.0,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.0,0.0,0.4444444444444444,0.05555555555555555
430,SC,43,1.0,57500.0,56826.0,674.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
431,SD,11,2.0,98581.5,98581.5,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
432,SD,13,1.0,74755.2,63980.8,10774.399999999994,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
