USPS|GEOID|GEOIDFQ|ANSICODE|NAME|LSAD|FUNCSTAT|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
WY|5608365|1600000US5608365|02407880|Bondurant CDP|57|S|136697294|0|52.779|0.|43.194859|-110.402577
WY|5609235|1600000US5609235|02407891|Boulder CDP|57|S|4887958|0|1.887|0.|42.746142|-109.706729
WY|5609307|1600000US5609307|02407893|Boulder Flats CDP|57|S|47090354|0|18.182|0.|42.915575|-108.799297
WY|5610175|1600000US5610175|02407908|Brookhurst CDP|57|S|1694175|105633|0.654|0.041|42.860985|-106.228789
WY|5610685|1600000US5610685|02409934|Buffalo city|25|A|12018500|1106|4.64|0.|44.338545|-106.715344
WY|5611120|1600000US5611120|02411745|Burlington town|43|A|2619106|0|1.011|0.|44.447065|-108.432023
WY|5611265|1600000US5611265|02411746|Burns town|43|A|7905858|0|3.052|0.|41.190871|-104.359035
WY|5611700|1600000US5611700|02413146|Byron town|43|A|2347532|120786|0.906|0.047|44.796737|-108.508463
WY|5612860|1600000US5612860|02585080|Carpenter CDP|57|S|615601|0|0.238|0.|41.045607|-104.36437
WY|5613005|1600000US5613005|02407974|Carter CDP|57|S|8148029|0|3.146|0.|41.440444|-110.430327
WY|5613150|1600000US5613150|02409406|Casper city|25|A|69290821|866721|26.753|0.335|42.84212|-106.321282
WY|5613222|1600000US5613222|02407984|Casper Mountain CDP|57|S|92878261|0|35.86|0.|42.741555|-106.308146
WY|5613440|1600000US5613440|02408002|Centennial CDP|57|S|42215985|18768|16.3|0.007|41.306844|-106.137607
WY|5613900|1600000US5613900|02409445|Cheyenne city|25|A|103129030|384299|39.818|0.148|41.128275|-104.799155
WY|5614097|1600000US5614097|02407613|Chugcreek CDP|57|S|4902133|0|1.893|0.|42.053475|-104.907902
WY|5614165|1600000US5614165|02413202|Chugwater town|43|A|7925317|0|3.06|0.|41.755749|-104.822936
WY|5615325|1600000US5615325|02413211|Clearmont town|43|A|433112|0|0.167|0.|44.63985|-106.381297
WY|5615400|1600000US5615400|02407632|Clearview Acres CDP|57|S|3106286|0|1.199|0.|41.584203|-109.280028
WY|5615760|1600000US5615760|02409499|Cody city|25|A|26532057|611020|10.244|0.236|44.521242|-109.057469
WY|5615905|1600000US5615905|02413222|Cokeville town|43|A|3307287|0|1.277|0.|42.079237|-110.951898
WY|5617210|1600000US5617210|02407659|Cora CDP|57|S|12929302|0|4.992|0.|42.957661|-109.99159
WY|5617645|1600000US5617645|02412379|Cowley town|43|A|2261776|0|0.873|0.|44.883452|-108.469272
WY|5618225|1600000US5618225|02407688|Crowheart CDP|57|S|81452764|0|31.449|0.|43.33978|-109.229756
WY|5618950|1600000US5618950|02408641|Daniel CDP|57|S|13157107|0|5.08|0.|42.865738|-110.076474
WY|5619385|1600000US5619385|02412410|Dayton town|43|A|1418591|0|0.548|0.|44.873351|-107.262432
WY|5619530|1600000US5619530|02412413|Deaver town|43|A|2622907|0|1.013|0.|44.889024|-108.596018
WY|5620110|1600000US5620110|02412427|Diamondville town|43|A|2744177|8101|1.06|0.003|41.777816|-110.536507
WY|5620690|1600000US5620690|02412435|Dixon town|43|A|340113|4502|0.131|0.002|41.034896|-107.536144
WY|5621125|1600000US5621125|02410350|Douglas city|25|A|17089191|329515|6.598|0.127|42.754773|-105.397802
WY|5621415|1600000US5621415|02412450|Dubois town|43|A|9012660|29087|3.48|0.011|43.545964|-109.647628
WY|5622720|1600000US5622720|02412461|East Thermopolis town|43|A|469842|0|0.181|0.|43.644094|-108.197883
WY|5623010|1600000US5623010|02408044|Eden CDP|57|S|34993597|0|13.511|0.|42.060165|-109.439152
WY|5623155|1600000US5623155|02412466|Edgerton town|43|A|772991|0|0.298|0.|43.413394|-106.247359
WY|5624025|1600000US5624025|02412475|Elk Mountain town|43|A|716445|0|0.277|0.|41.688298|-106.413501
WY|5624350|1600000US5624350|02807540|El Rancho CDP|57|S|1490920|0|0.576|0.|42.26798|-105.04767
WY|5624750|1600000US5624750|02412700|Encampment town|43|A|4136211|0|1.597|0.|41.208758|-106.794819
WY|5625185|1600000US5625185|02408091|Esterbrook CDP|57|S|8722001|0|3.368|0.|42.406113|-105.385914
WY|5625330|1600000US5625330|02408092|Ethete CDP|57|S|84197537|0|32.509|0.|43.00083|-108.723027
