USPS|GEOID|GEOIDFQ|ANSICODE|NAME|LSAD|FUNCSTAT|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
SD|4671180|1600000US4671180|01267652|White Lake city|25|A|1048437|0|0.405|0.|43.72828|-98.712023
SD|4671340|1600000US4671340|01267653|White River city|25|A|1348952|0|0.521|0.|43.567068|-100.744875
SD|4671380|1600000US4671380|01267654|White Rock town|43|A|4068405|0|1.571|0.|45.924744|-96.576176
SD|4671440|1600000US4671440|02807117|White Rock Colony CDP|57|S|1486215|24373|0.574|0.009|45.910569|-96.635908
SD|4671580|1600000US4671580|01267655|Whitewood city|25|A|1729334|0|0.668|0.|44.462251|-103.638306
SD|4671940|1600000US4671940|01267656|Willow Lake city|25|A|964384|10783|0.372|0.004|44.627901|-97.638057
SD|4671980|1600000US4671980|01267657|Wilmot city|25|A|1380440|0|0.533|0.|45.409104|-96.854561
SD|4672100|1600000US4672100|02628854|Winfred CDP|57|S|2591544|98921|1.001|0.038|43.998795|-97.361614
SD|4672180|1600000US4672180|01267659|Winner city|25|A|5936439|0|2.292|0.|43.377613|-99.855064
SD|4672500|1600000US4672500|02813034|Wolf Creek Colony CDP|57|S|1318766|0|0.509|0.|43.352777|-97.616014
SD|4672540|1600000US4672540|01267660|Wolsey town|43|A|5865842|92868|2.265|0.036|44.410763|-98.473892
SD|4672590|1600000US4672590|02807116|Wonderland Homes CDP|57|S|613205|3748|0.237|0.001|44.204118|-103.344542
SD|4672620|1600000US4672620|01267661|Wood town|43|A|637382|0|0.246|0.|43.497059|-100.480158
SD|4672700|1600000US4672700|01267662|Woonsocket city|25|A|2030925|28457|0.784|0.011|44.054198|-98.271711
SD|4672820|1600000US4672820|01267663|Worthing city|25|A|1452914|0|0.561|0.|43.330046|-96.768247
SD|4672900|1600000US4672900|02393868|Wounded Knee CDP|57|S|2771665|0|1.07|0.|43.143548|-102.368236
SD|4673020|1600000US4673020|01267664|Yale town|43|A|376184|9518|0.145|0.004|44.433455|-97.987907
SD|4673060|1600000US4673060|01267665|Yankton city|25|A|22634997|622127|8.739|0.24|42.889751|-97.392687
